resume_uploaded,karma,batch_resume_uploaded_pct,event_fomo_score,should_nudge_resume,should_nudge_event
0,208.0,95,0.88,1,1
1,162.0,79,0.68,0,1
0,208.0,81,0.43,1,0
1,248.0,77,0.36,0,0
0,179.0,80,0.26,0,0
0,315.0,88,0.5,1,0
0,155.0,79,0.81,0,1
0,350.0,78,0.24,0,0
1,371.0,62,0.67,0,1
0,284.0,68,0.4,0,1
0,393.0,64,0.81,0,1
0,372.0,88,0.81,0,1
1,64.0,75,0.2,0,0
0,155.0,80,0.93,0,1
1,346.0,89,0.64,0,1
0,88.0,65,0.79,0,1
0,243.0,64,0.44,0,0
1,409.0,72,0.5,0,0
1,330.0,72,0.78,0,1
0,101.0,91,0.55,1,1
1,256.0,62,0.56,0,1
0,380.0,92,0.28,1,0
1,274.0,61,0.66,0,1
0,380.0,84,0.43,1,0
0,57.0,62,0.84,0,1
1,165.0,63,0.68,0,1
0,274.0,93,0.57,1,1
1,400.0,88,0.59,0,1
1,382.0,75,0.61,0,1
0,127.0,77,0.85,0,1
0,470.0,61,0.83,0,1
0,320.0,95,0.91,1,1
1,398.0,81,0.81,0,0
0,278.0,86,0.37,1,0
0,329.0,95,0.72,1,1
0,389.0,75,0.93,0,1
1,212.0,86,0.57,0,1
0,210.0,76,0.68,0,1
1,279.0,81,0.81,0,1
1,351.0,73,0.69,0,1
0,250.0,60,0.78,0,1
1,183.0,87,0.42,0,0
1,137.0,74,0.25,0,0
0,435.0,76,0.45,0,0
1,94.0,89,0.57,1,1
0,166.0,82,0.35,1,0
0,399.0,72,0.71,0,1
0,198.0,60,0.51,0,1
0,227.0,71,0.39,0,0
0,329.0,62,0.75,0,1
0,123.0,79,0.72,0,1
0,470.0,86,0.3,1,0
1,417.0,91,0.24,0,0
1,372.0,64,0.84,0,1
0,160.0,88,0.44,1,0
1,363.0,84,0.59,0,1
1,445.0,63,0.66,0,1
1,209.0,74,0.73,0,1
0,214.0,64,0.35,0,0
0,502.0,77,0.84,0,1
1,383.0,92,0.79,0,1
1,318.0,76,0.85,0,1
0,293.0,86,0.38,1,1
0,190.0,70,0.81,0,1
0,294.0,81,0.36,1,0
1,286.0,75,0.36,0,0
0,153.0,91,0.82,0,1
1,239.0,69,0.75,0,1
1,368.0,67,0.76,0,1
1,35.0,84,0.71,1,1
1,468.0,76,0.25,0,0
0,321.0,73,0.84,0,1
0,246.0,78,0.34,0,0
1,91.0,84,0.88,0,1
0,135.0,67,0.53,0,1
1,340.0,73,0.71,0,1
0,271.0,75,0.32,0,0
1,508.0,71,0.83,0,1
0,478.0,76,0.3,0,0
0,182.0,81,0.74,1,1
0,265.0,61,0.38,0,1
0,283.0,78,0.9,0,1
1,287.0,91,0.35,0,0
0,116.0,65,0.47,0,1
0,263.0,91,0.53,1,1
1,389.0,94,0.53,0,1
1,331.0,69,0.45,0,1
1,108.0,64,0.57,0,1
1,389.0,76,0.76,0,1
1,462.0,69,0.63,0,1
1,301.0,91,0.74,0,1
0,285.0,65,0.78,0,1
1,444.0,62,0.82,0,1
0,245.0,71,0.82,0,1
1,132.0,94,0.8,0,1
1,201.0,74,0.87,0,0
0,415.0,65,0.49,0,0
1,352.0,92,0.42,0,0
0,152.0,72,0.33,0,0
1,255.0,78,0.34,0,0
0,282.0,60,0.35,0,0
0,394.0,60,0.46,0,1
1,413.0,91,0.41,0,0
0,210.0,94,0.87,1,1
1,270.0,89,0.74,0,1
1,46.0,79,0.55,0,1
0,79.0,82,0.84,1,1
1,174.0,76,0.75,0,1
1,248.0,83,0.24,0,0
1,226.0,71,0.77,0,1
1,371.0,91,0.24,0,0
0,190.0,73,0.82,0,1
1,186.0,89,0.89,0,1
1,388.0,93,0.45,0,0
0,249.0,94,0.44,1,0
1,174.0,88,0.57,0,1
1,93.0,60,0.57,0,1
0,114.0,87,0.51,1,1
0,66.0,84,0.64,1,1
1,198.0,68,0.79,0,1
1,362.0,74,0.74,0,1
1,345.0,84,0.65,0,1
1,458.0,65,0.49,0,0
0,303.0,67,0.42,0,0
0,196.0,89,0.52,0,0
1,480.0,65,0.21,0,0
1,506.0,89,0.47,1,0
0,154.0,64,0.64,0,1
1,135.0,65,0.71,0,1
1,386.0,80,0.71,0,1
0,253.0,66,0.35,0,0
0,497.0,90,0.25,1,0
0,353.0,62,0.32,0,0
1,254.0,81,0.45,0,0
0,199.0,70,0.67,0,1
1,68.0,87,0.4,0,0
1,111.0,85,0.84,0,1
0,338.0,91,0.74,1,1
0,88.0,72,0.14,0,0
0,384.0,90,0.37,1,0
0,444.0,79,0.39,0,0
0,503.0,63,0.59,0,1
0,235.0,72,0.56,0,1
1,384.0,79,0.56,0,1
0,440.0,83,0.72,0,0
1,186.0,92,0.74,0,1
0,469.0,75,0.77,0,1
1,292.0,69,0.39,0,0
0,444.0,75,0.52,0,1
1,77.0,87,0.39,0,1
1,280.0,72,0.64,0,1
0,349.0,82,0.5,0,0
1,268.0,79,0.47,0,1
1,403.0,77,0.8,0,1
1,405.0,68,0.72,0,1
1,157.0,61,0.44,0,0
0,436.0,89,0.98,0,1
1,276.0,93,0.73,0,1
0,476.0,86,0.75,1,1
1,411.0,80,0.34,0,0
0,228.0,95,0.72,1,1
0,394.0,75,0.52,1,1
1,182.0,70,0.5,0,1
0,145.0,84,0.49,1,0
0,259.0,89,0.51,1,0
0,458.0,78,0.87,0,1
1,122.0,72,0.39,0,0
0,443.0,94,0.76,1,1
1,123.0,72,0.54,0,1
1,254.0,75,0.44,0,0
0,146.0,89,0.51,1,0
0,354.0,79,0.52,0,0
1,102.0,61,0.44,0,0
1,210.0,66,0.26,0,0
0,433.0,66,0.53,0,0
0,262.0,91,0.65,1,1
1,374.0,77,0.77,0,1
0,158.0,92,0.6,1,0
1,437.0,84,0.4,0,1
0,299.0,76,0.39,0,0
0,134.0,60,0.65,0,1
0,371.0,92,0.83,1,1
1,361.0,62,0.69,0,1
1,487.0,75,0.67,1,1
1,282.0,84,0.63,0,0
1,85.0,68,0.44,0,0
0,317.0,60,0.76,0,1
0,309.0,86,0.39,0,0
0,164.0,67,0.65,0,1
0,330.0,90,0.9,1,0
1,311.0,77,0.31,0,1
0,85.0,78,0.53,0,1
1,283.0,88,0.89,0,1
1,288.0,86,0.91,0,1
1,247.0,82,0.87,0,1
1,205.0,92,0.39,1,0
0,414.0,89,0.66,1,1
0,143.0,66,0.62,0,1
0,126.0,81,0.76,1,1
1,320.0,68,0.71,0,1
1,364.0,94,0.58,0,1
0,129.0,80,0.62,0,1
1,343.0,69,0.76,0,1
1,71.0,89,0.4,0,0
1,184.0,72,0.5,0,0
1,149.0,90,0.73,0,1
0,46.0,60,0.45,0,0
1,426.0,86,0.43,0,0
1,351.0,60,0.55,0,1
0,178.0,74,0.42,0,0
1,548.0,72,0.93,0,1
0,435.0,71,0.91,0,1
1,339.0,81,0.54,0,0
1,416.0,79,0.63,0,1
1,201.0,81,0.63,0,1
0,260.0,91,0.79,1,1
0,134.0,84,0.75,1,1
0,188.0,74,0.43,1,0
0,219.0,80,0.64,0,1
0,233.0,78,0.79,0,1
1,123.0,76,0.56,0,1
0,135.0,76,0.23,0,0
1,303.0,87,0.29,0,0
1,355.0,81,0.68,0,1
0,386.0,80,0.68,0,1
0,400.0,94,0.88,1,1
0,279.0,93,0.68,1,1
1,159.0,87,0.68,0,1
0,391.0,76,0.86,1,1
0,311.0,74,0.35,0,0
1,101.0,68,0.57,0,1
1,457.0,60,0.6,0,1
1,460.0,92,0.26,0,0
1,102.0,76,0.71,1,1
0,448.0,71,0.37,0,0
0,251.0,65,0.24,0,0
1,39.0,95,0.31,0,0
1,326.0,85,0.24,0,0
1,142.0,76,0.35,0,0
0,232.0,84,0.43,1,1
1,60.0,82,0.58,0,1
0,477.0,61,0.59,0,1
1,52.0,66,0.33,0,0
1,161.0,93,0.77,0,1
0,68.0,65,0.4,0,1
1,251.0,60,0.79,0,1
0,195.0,76,0.17,0,0
1,288.0,68,0.66,0,1
0,45.0,71,0.7,0,1
1,191.0,91,0.48,0,1
0,248.0,92,0.53,1,1
0,475.0,71,0.54,0,1
0,158.0,83,0.55,1,1
1,327.0,84,0.38,0,0
0,168.0,85,0.5,1,1
1,385.0,61,0.75,0,1
1,88.0,69,0.67,0,1
0,263.0,69,0.86,0,1
1,341.0,63,0.43,0,0
0,283.0,74,0.67,0,0
1,183.0,65,0.66,0,1
1,451.0,78,0.2,0,0
0,436.0,83,0.27,1,0
1,419.0,80,0.7,0,1
1,375.0,67,0.74,0,1
1,80.0,62,0.63,1,1
1,292.0,76,0.62,0,1
0,219.0,71,0.82,0,1
1,134.0,70,0.34,0,0
0,275.0,78,0.65,0,0
1,347.0,89,0.83,0,1
0,74.0,76,0.89,0,1
1,467.0,76,0.22,0,0
0,102.0,76,0.76,0,1
0,376.0,81,0.37,1,0
0,132.0,80,0.37,0,0
1,398.0,82,0.45,0,1
0,329.0,63,0.42,0,0
1,216.0,73,0.63,0,1
0,403.0,83,0.36,1,0
0,139.0,60,0.84,0,1
1,368.0,85,0.79,0,1
0,371.0,83,0.72,1,1
1,305.0,62,0.52,0,0
1,336.0,71,0.48,0,0
0,385.0,63,0.18,0,0
0,236.0,87,0.74,1,0
0,413.0,61,0.37,0,0
1,242.0,76,0.33,0,1
1,99.0,79,0.82,0,1
0,168.0,84,0.35,1,1
0,249.0,69,0.48,0,0
1,337.0,71,0.88,0,1
0,214.0,84,0.37,1,0
0,362.0,91,0.55,1,1
1,223.0,71,0.46,0,0
1,137.0,69,0.33,0,0
0,398.0,87,0.59,1,0
0,240.0,81,0.48,0,0
0,254.0,66,0.49,0,1
1,320.0,82,0.18,0,0
0,247.0,74,0.79,0,1
1,115.0,68,0.53,1,0
0,411.0,76,0.42,0,0
1,191.0,95,0.66,0,1
0,336.0,90,0.2,0,1
0,290.0,70,0.88,0,1
0,0.0,87,0.64,0,1
1,141.0,89,0.45,0,1
1,45.0,76,0.33,0,0
1,106.0,81,0.76,0,1
0,266.0,77,0.49,0,1
1,141.0,62,0.44,0,0
0,327.0,73,0.77,0,1
0,373.0,93,0.61,1,1
1,255.0,78,0.49,0,1
1,171.0,79,0.76,0,1
0,114.0,67,0.45,0,0
1,189.0,65,0.68,0,0
0,167.0,87,0.76,1,1
1,222.0,69,0.47,0,1
1,259.0,66,0.2,0,0
0,399.0,95,0.22,1,0
1,369.0,93,0.51,0,1
0,387.0,79,0.56,0,1
1,157.0,95,0.25,0,0
1,537.0,94,0.8,0,1
1,374.0,78,0.9,0,1
1,375.0,76,0.82,0,1
1,58.0,75,0.62,0,0
0,71.0,74,0.61,0,1
0,27.0,95,0.75,1,1
1,105.0,95,0.78,0,1
1,319.0,70,0.66,0,1
1,180.0,75,0.62,0,1
1,505.0,89,0.24,0,0
1,341.0,77,0.67,0,0
1,101.0,72,0.38,0,0
1,345.0,63,0.34,0,1
0,405.0,93,0.24,1,0
1,191.0,93,0.39,1,0
1,86.0,94,0.69,1,1
0,150.0,72,0.74,0,1
0,515.0,66,0.7,0,1
0,98.0,77,0.75,0,1
1,337.0,95,0.42,0,0
1,183.0,74,0.43,0,0
1,361.0,76,0.59,0,1
1,440.0,82,0.96,1,1
1,459.0,70,0.44,0,0
1,169.0,69,0.6,0,1
1,77.0,70,0.78,0,1
0,91.0,76,0.65,0,1
0,501.0,61,0.53,0,1
0,313.0,60,0.71,0,1
1,412.0,68,0.35,0,0
1,353.0,71,0.55,0,1
1,66.0,61,0.57,0,1
0,299.0,76,0.27,0,0
1,297.0,92,0.88,0,1
0,505.0,86,0.4,1,1
1,77.0,63,0.77,0,1
0,57.0,69,0.51,0,1
1,276.0,63,0.53,0,1
0,516.0,63,0.91,0,1
0,178.0,61,0.65,0,1
1,241.0,72,0.81,0,1
1,72.0,88,0.62,0,1
1,35.0,85,0.9,0,1
0,277.0,65,0.5,0,0
1,487.0,67,0.81,1,1
0,530.0,69,0.78,0,1
1,256.0,61,0.55,0,0
0,122.0,68,0.47,0,0
1,408.0,74,0.61,0,1
0,181.0,77,0.77,0,1
1,69.0,93,0.45,0,0
1,218.0,85,0.78,0,1
0,526.0,94,0.61,1,1
1,195.0,82,0.68,1,1
0,216.0,71,0.71,0,1
1,0.0,67,0.37,0,0
1,464.0,75,0.7,0,1
1,390.0,68,0.39,0,0
1,182.0,87,0.87,0,1
0,424.0,76,0.74,1,1
0,370.0,83,0.66,1,1
0,220.0,75,0.76,0,1
0,537.0,73,0.48,0,0
0,422.0,63,0.43,1,0
0,176.0,82,0.33,1,0
0,378.0,69,0.75,0,1
0,342.0,84,0.6,1,1
0,170.0,88,0.84,1,1
1,308.0,70,0.55,1,1
0,77.0,64,0.69,0,1
1,385.0,82,0.88,0,1
0,482.0,82,0.78,1,1
1,497.0,63,0.68,1,1
0,415.0,63,0.34,0,0
1,175.0,60,0.74,0,1
1,515.0,85,0.52,0,1
0,333.0,85,0.12,1,0
0,337.0,92,0.82,1,1
0,94.0,63,0.22,0,0
1,422.0,67,0.69,1,1
1,355.0,87,0.51,0,1
0,348.0,95,0.68,0,1
0,77.0,93,0.75,1,1
1,152.0,89,0.48,0,0
0,191.0,82,0.57,1,1
0,50.0,82,0.68,1,1
1,273.0,81,0.69,0,1
1,373.0,89,0.39,0,0
0,316.0,95,0.39,0,0
0,155.0,93,0.34,1,0
1,155.0,90,0.72,0,1
0,429.0,93,0.74,1,1
1,374.0,69,0.92,0,1
1,388.0,85,0.64,0,1
1,114.0,76,0.36,0,1
0,414.0,61,0.38,0,0
0,246.0,65,0.7,0,1
0,444.0,76,0.46,0,0
1,230.0,82,0.75,0,1
0,127.0,90,0.77,1,1
0,342.0,64,0.81,0,1
0,335.0,75,0.33,0,0
0,46.0,72,0.68,0,1
0,80.0,80,0.83,0,1
0,277.0,62,0.34,0,0
1,511.0,67,0.6,0,1
1,251.0,61,0.66,0,0
1,464.0,78,0.92,0,1
1,260.0,85,0.65,1,1
0,404.0,72,0.41,0,0
1,426.0,84,0.52,0,0
0,393.0,93,0.75,1,1
0,347.0,95,0.48,1,0
0,484.0,92,0.82,1,1
1,447.0,80,0.66,0,1
0,147.0,82,0.65,1,0
0,183.0,67,0.41,0,0
0,300.0,74,0.74,0,1
1,443.0,65,0.61,0,1
0,198.0,85,0.29,1,0
0,202.0,75,0.73,0,1
1,450.0,88,0.9,0,1
0,173.0,90,0.41,1,0
1,178.0,72,0.8,0,1
0,82.0,71,0.54,0,1
0,99.0,64,0.49,0,1
0,434.0,70,0.55,0,1
0,120.0,62,0.71,0,1
0,460.0,87,0.21,1,0
1,439.0,87,0.75,0,1
1,272.0,94,0.3,0,0
0,279.0,63,0.89,0,1
1,180.0,67,0.5,0,1
0,490.0,68,0.43,0,0
0,258.0,84,0.54,0,1
1,334.0,62,0.68,0,1
1,388.0,69,0.75,0,1
1,243.0,70,0.53,1,0
0,304.0,91,0.78,1,1
1,168.0,64,0.49,0,0
1,86.0,76,0.58,0,0
0,462.0,80,0.5,0,1
1,135.0,70,0.3,1,0
1,432.0,90,0.56,0,1
0,329.0,92,0.75,1,1
0,373.0,89,0.27,1,0
1,169.0,63,0.17,0,0
1,278.0,93,0.37,0,0
0,463.0,71,0.8,0,1
1,22.0,77,0.68,1,1
0,216.0,81,0.44,0,0
1,134.0,87,0.49,0,1
1,489.0,87,0.76,0,1
1,208.0,78,0.21,0,0
0,309.0,83,0.68,0,1
1,211.0,64,0.58,0,1
0,332.0,69,0.61,0,1
0,313.0,89,0.55,1,1
1,396.0,60,0.53,0,1
1,226.0,93,0.37,0,0
1,368.0,76,0.21,0,1
0,137.0,81,0.61,0,1
1,466.0,80,0.64,0,1
1,126.0,82,0.75,0,1
0,425.0,95,0.87,1,1
0,68.0,93,0.81,0,1
0,310.0,73,0.39,0,0
1,221.0,85,0.88,0,0
0,295.0,69,0.34,0,0
0,336.0,75,0.51,0,0
1,133.0,91,0.44,0,0
1,332.0,83,0.32,0,1
1,200.0,72,0.65,0,1
1,364.0,83,0.7,0,1
0,470.0,71,0.54,0,0
0,93.0,76,0.57,0,1
1,445.0,87,0.35,0,0
0,411.0,82,0.88,1,1
0,490.0,77,0.22,0,0
0,315.0,77,0.8,0,1
1,357.0,84,0.83,0,1
0,410.0,72,0.31,0,0
0,51.0,66,0.64,0,1
1,166.0,83,0.73,0,1
0,357.0,71,0.76,0,1
0,106.0,85,0.27,0,0
1,319.0,90,0.38,0,0
0,467.0,78,0.46,0,1
0,171.0,77,0.3,0,0
0,234.0,80,0.97,0,1
1,374.0,78,0.32,1,0
1,324.0,89,0.27,0,1
1,325.0,70,0.69,0,1
1,192.0,85,0.75,0,1
0,479.0,65,0.47,1,0
0,281.0,78,0.38,0,0
0,65.0,82,0.2,1,0
1,232.0,94,0.84,0,1
0,249.0,94,0.87,1,1
0,178.0,60,0.87,0,1
0,128.0,85,0.56,1,1
0,402.0,80,0.69,0,1
0,341.0,67,0.43,0,0
1,176.0,92,0.34,0,0
0,214.0,65,0.61,0,1
0,466.0,90,0.62,1,1
0,66.0,84,0.7,1,0
1,395.0,79,0.56,0,1
1,269.0,77,0.37,0,0
0,183.0,77,0.48,1,1
1,230.0,75,0.68,0,1
1,156.0,87,0.8,0,1
1,72.0,73,0.68,0,1
1,131.0,93,0.83,0,1
1,113.0,66,0.86,0,1
1,389.0,65,0.54,0,1
0,145.0,78,0.87,0,1
1,314.0,74,0.33,0,0
1,436.0,61,0.5,0,0
1,480.0,81,0.71,1,1
1,199.0,82,0.35,0,0
1,342.0,87,0.46,0,0
0,330.0,70,0.44,0,0
0,223.0,81,0.82,1,1
1,422.0,79,0.66,0,1
1,406.0,85,0.89,0,1
1,157.0,87,0.17,0,0
1,90.0,83,0.53,1,1
0,176.0,95,0.84,1,1
0,332.0,70,0.8,0,1
1,481.0,77,0.38,0,0
1,103.0,93,0.57,0,1
1,134.0,72,0.58,0,1
1,477.0,76,0.7,0,1
0,321.0,82,0.65,0,1
1,411.0,70,0.26,0,0
1,241.0,70,0.55,0,1
0,383.0,77,0.69,1,1
0,234.0,95,0.44,1,0
1,198.0,86,0.77,0,1
1,76.0,64,0.24,0,0
1,216.0,77,0.49,0,1
0,355.0,88,0.55,1,1
1,349.0,78,0.62,0,1
1,229.0,65,0.81,0,1
1,76.0,67,0.77,0,1
0,442.0,62,0.39,1,0
0,218.0,64,0.53,0,0
0,206.0,62,0.71,0,1
1,374.0,92,0.82,0,1
0,178.0,65,0.79,0,1
0,161.0,77,0.41,0,0
0,411.0,66,0.58,0,1
0,272.0,66,0.45,0,0
1,343.0,95,0.92,0,1
0,157.0,86,0.25,1,0
0,343.0,67,0.67,0,1
1,425.0,60,0.81,0,1
0,289.0,87,0.71,1,1
0,450.0,91,0.42,1,0
1,139.0,66,0.65,0,1
0,166.0,86,0.45,1,0
0,428.0,86,0.29,1,0
0,299.0,67,0.66,0,1
1,446.0,75,0.45,0,1
1,215.0,91,0.33,0,0
1,542.0,86,0.38,0,0
1,474.0,71,0.72,0,1
0,291.0,91,0.53,1,1
1,498.0,86,0.66,0,1
0,391.0,93,0.51,0,1
0,426.0,64,0.84,0,1
0,327.0,87,0.74,1,1
0,109.0,85,0.62,1,1
0,476.0,73,0.63,0,0
0,334.0,78,0.85,0,1
1,405.0,75,0.64,0,1
1,187.0,62,0.92,0,1
1,497.0,90,0.61,0,1
1,486.0,63,0.42,0,1
1,86.0,70,0.7,0,1
0,134.0,81,0.58,1,1
0,341.0,80,0.42,0,0
0,106.0,95,0.76,0,1
0,376.0,78,0.33,0,0
1,45.0,65,0.73,0,1
1,389.0,88,0.79,0,1
1,356.0,92,0.77,0,1
0,90.0,94,0.8,1,1
0,450.0,62,0.79,0,1
1,140.0,81,0.45,0,1
1,345.0,82,0.79,0,0
0,155.0,82,0.67,1,1
0,315.0,67,0.69,0,1
1,208.0,71,0.83,0,1
1,231.0,61,0.69,0,1
1,323.0,79,0.43,0,0
1,382.0,62,0.48,0,1
1,388.0,83,0.75,0,1
1,303.0,61,0.2,0,0
0,276.0,80,0.59,0,1
0,269.0,61,0.51,0,0
1,231.0,89,0.77,0,1
0,464.0,60,0.32,0,0
1,278.0,95,0.9,0,1
0,456.0,83,0.71,1,1
1,168.0,84,0.81,0,1
0,451.0,87,0.33,1,0
1,289.0,74,0.58,0,1
1,231.0,81,0.48,0,1
0,417.0,82,0.56,1,1
0,187.0,62,0.66,0,1
1,215.0,92,0.56,0,1
1,239.0,69,0.51,0,1
1,280.0,89,0.47,0,0
1,126.0,81,0.9,0,1
1,382.0,62,0.51,0,1
1,133.0,88,1.0,0,0
1,270.0,81,0.93,0,1
0,314.0,94,0.52,1,1
0,288.0,88,0.69,1,1
1,322.0,82,0.4,0,0
1,393.0,61,0.62,0,1
0,340.0,89,0.77,1,1
0,160.0,71,0.53,0,1
1,110.0,81,0.51,0,1
0,203.0,73,0.56,0,1
0,269.0,67,0.34,0,0
0,457.0,75,0.84,0,1
0,251.0,75,0.75,0,1
0,70.0,80,0.33,0,0
0,338.0,88,0.64,1,1
0,166.0,77,0.77,0,1
0,247.0,95,0.41,1,0
0,310.0,93,0.41,1,0
1,161.0,80,0.6,1,1
0,270.0,87,0.45,0,0
0,385.0,79,0.38,0,1
1,308.0,62,0.99,0,1
1,358.0,72,0.77,0,1
0,483.0,89,0.68,1,1
1,203.0,85,0.65,0,1
0,318.0,75,0.51,0,1
0,63.0,68,0.69,0,1
0,82.0,67,0.57,0,1
1,370.0,81,0.46,0,0
1,232.0,63,0.61,0,1
0,121.0,94,0.58,1,1
1,443.0,82,0.6,1,1
1,230.0,76,0.41,0,0
1,33.0,64,0.82,0,1
0,219.0,84,0.6,1,1
1,480.0,80,0.84,0,1
0,300.0,60,0.52,0,1
0,516.0,64,0.36,0,0
1,325.0,92,0.63,0,1
0,310.0,81,0.76,1,1
1,124.0,82,0.45,1,0
1,251.0,61,0.5,0,0
0,389.0,90,0.81,1,1
1,296.0,93,0.91,0,1
1,415.0,61,0.71,0,1
0,79.0,84,0.62,1,1
1,90.0,84,0.66,0,1
1,190.0,71,0.39,0,0
0,97.0,72,0.25,0,0
1,70.0,75,0.8,0,1
0,125.0,90,0.31,1,0
0,193.0,83,0.83,1,1
0,267.0,86,0.42,1,0
0,0.0,69,0.35,0,0
0,305.0,69,0.34,1,0
1,425.0,92,0.78,0,1
0,344.0,89,0.21,1,0
0,509.0,82,0.77,1,1
0,386.0,64,0.77,0,1
1,189.0,93,0.56,0,1
1,264.0,71,0.72,0,1
0,87.0,80,0.23,0,0
0,122.0,71,0.74,0,1
0,65.0,76,0.75,0,1
1,117.0,76,0.45,0,0
0,401.0,82,0.35,1,0
1,358.0,69,0.46,0,0
1,209.0,92,0.69,0,1
1,417.0,65,0.62,0,1
1,258.0,76,0.8,0,1
1,193.0,87,0.73,0,1
0,453.0,74,0.38,0,0
1,433.0,70,0.7,0,1
1,33.0,76,0.62,0,1
1,415.0,84,0.58,0,0
1,98.0,68,0.72,0,1
0,122.0,61,0.25,0,0
0,288.0,90,0.39,1,0
1,76.0,85,0.4,0,0
0,97.0,77,0.46,0,1
1,260.0,93,0.6,0,1
0,371.0,62,0.26,0,0
1,61.0,79,0.58,0,1
1,352.0,81,0.89,1,1
0,387.0,67,0.7,0,1
1,155.0,80,0.44,0,1
0,388.0,94,0.77,1,1
0,280.0,93,0.47,1,1
0,351.0,89,0.77,1,1
0,151.0,63,0.29,0,0
0,207.0,89,0.72,1,1
1,148.0,80,0.75,0,1
1,441.0,76,0.82,0,1
